13:39:37 INFO  manager.ApplicationManager - All tests start in Chrome Browser
13:39:44 INFO  tests.TestsBase - Name of test: addCarSuccess1
13:39:44 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:39:49 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:39:49 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
13:39:49 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
13:39:50 INFO  manager.MyListener - Start find 'element' ---> By.id: email
13:39:50 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
13:39:51 INFO  manager.MyListener - Start find 'element' ---> By.id: password
13:39:51 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
13:39:52 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:39:52 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:39:53 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()='Ok']
13:39:54 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()='Ok'] was found
13:39:55 INFO  tests.TestsBase - Car was added for userUser{name='null', lastName='null', email='noa@gmail.com', password='Nnoa12345$'}
13:39:56 INFO  tests.TestsBase - Car was addedCar(location=Tel Aviv, Israel, make=SUPER, model=CAR, year=2022, engine=3.5, fuel=Petrol, gear=MT, wD=AWD, doors=2, seats=4, carClass=sport, fuelConsumption=12l, carRegNumber=33-2395-99, price=199, distance=3000, features=null, about=try it)
13:39:56 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href='/let-car-work']
13:39:56 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href='/let-car-work'] was found
13:39:57 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //input[@id='pickUpPlace']
13:39:57 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //input[@id='pickUpPlace'] was found
13:39:57 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: .pac-item
13:39:58 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: .pac-item was found
13:39:59 INFO  manager.MyListener - Start find 'element' ---> By.id: make
13:39:59 INFO  manager.MyListener - Element with 'locator' ---> By.id: make was found
13:39:59 INFO  manager.MyListener - Start find 'element' ---> By.id: model
13:39:59 INFO  manager.MyListener - Element with 'locator' ---> By.id: model was found
13:40:00 INFO  manager.MyListener - Start find 'element' ---> By.id: year
13:40:00 INFO  manager.MyListener - Element with 'locator' ---> By.id: year was found
13:40:00 INFO  manager.MyListener - Start find 'element' ---> By.id: engine
13:40:00 INFO  manager.MyListener - Element with 'locator' ---> By.id: engine was found
13:40:01 INFO  manager.MyListener - Start find 'element' ---> By.id: fuel
13:40:01 INFO  manager.MyListener - Element with 'locator' ---> By.id: fuel was found
