13:14:22 INFO  manager.ApplicationManager - All tests start in Chrome Browser
13:14:29 INFO  tests.TestsBase - Name of test: loginSuccess
13:14:29 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:34 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:34 INFO  tests.TestsBase - Test starts with email: ["lenastep@gmail.com"] and password: ["12345nnnN"]
13:14:34 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
13:14:34 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
13:14:35 INFO  manager.MyListener - Start find 'element' ---> By.id: email
13:14:35 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
13:14:35 INFO  manager.MyListener - Start find 'element' ---> By.id: password
13:14:35 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
13:14:36 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:14:36 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:14:36 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: h2.message
13:14:37 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: h2.message was found
13:14:37 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()='Ok']
13:14:37 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()='Ok'] was found
13:14:37 INFO  tests.TestsBase - Name of test: loginSuccessDataProvider
13:14:37 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:37 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:37 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:37 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:38 INFO  tests.TestsBase - Test starts with DataProvider ---> email: lenastep@gmail.com & password: 12345nnnN
13:14:38 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
13:14:38 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
13:14:39 INFO  manager.MyListener - Start find 'element' ---> By.id: email
13:14:39 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
13:14:39 INFO  manager.MyListener - Start find 'element' ---> By.id: password
13:14:40 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
13:14:40 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:14:40 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:14:40 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: h2.message
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: h2.message was found
13:14:41 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()='Ok']
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()='Ok'] was found
13:14:41 INFO  tests.TestsBase - Name of test: loginSuccessDataProvider
13:14:41 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:41 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:41 INFO  tests.TestsBase - Test starts with DataProvider ---> email: lenastep@gmail.com & password: 12345nnnN
13:14:41 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
13:14:41 INFO  manager.MyListener - Start find 'element' ---> By.id: email
13:14:41 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
13:14:42 INFO  manager.MyListener - Start find 'element' ---> By.id: password
13:14:42 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
13:14:43 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [type='submit']
13:14:43 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [type='submit'] was found
13:14:43 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: h2.message
13:14:43 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: h2.message was found
13:14:43 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //*[text()='Ok']
13:14:43 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //*[text()='Ok'] was found
13:14:43 INFO  tests.TestsBase - Name of test: loginSuccessDataProvider
13:14:43 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:44 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:44 INFO  manager.MyListener - Start find 'element' ---> By.cssSelector: [href$='/logout?url=%2Fsearch']
13:14:44 INFO  manager.MyListener - Element with 'locator' ---> By.cssSelector: [href$='/logout?url=%2Fsearch'] was found
13:14:44 INFO  tests.TestsBase - Test starts with DataProvider ---> email: lenastep@gmail.com & password: 12345nnnN
13:14:44 INFO  manager.MyListener - Start find 'element' ---> By.xpath: //a[text()=' Log in ']
13:14:44 INFO  manager.MyListener - Element with 'locator' ---> By.xpath: //a[text()=' Log in '] was found
13:14:44 INFO  manager.MyListener - Start find 'element' ---> By.id: email
13:14:44 INFO  manager.MyListener - Element with 'locator' ---> By.id: email was found
13:14:45 INFO  manager.MyListener - Start find 'element' ---> By.id: password
13:14:45 INFO  manager.MyListener - Element with 'locator' ---> By.id: password was found
